,data,hora,sexo,idade,funcao,categoria,compra,valor
0,2014-03-25,,m,c,b,a,,
1,2014-03-25,,f,b,a,a,s,
2,2014-03-25,,m,c,b,d,,
3,2014-03-25,,m,c,b,d,s,
4,2014-03-25,,m,c,d,d,s,
5,2014-03-25,,f,b,a,a,,
6,2014-03-25,,m,b,a,a,,
7,2014-03-25,,m,b,a,b,,
8,2014-03-25,,m,c,d,e,s,
9,2014-03-25,,f,b,a,b,,
10,2014-03-26,,m,c,b,i,,
11,2014-03-26,,m,b,a,g,,
12,2014-03-26,,f,b,a,a,,
13,2014-03-26,,m,c,b,a,,
14,2014-03-26,,m,c,a,a,s,
15,2014-03-26,,m,c,b,b,,
16,2014-03-26,,f,b,a,b,,
17,2014-03-26,,m,c,a,g,,
18,2014-03-26,,f,d,b,a,,
19,2014-03-26,,m,c,b,a,s,
20,2014-03-26,,m,c,b,a,,
21,2014-03-26,,m,c,d,a,s,
22,2014-03-26,,m,d,c,k,,
23,2014-03-26,,m,b,a,a,s,
24,2014-03-27,10:7,m,b,a,g,,
25,2014-03-27,10:26,m,b,a,a,s,
26,2014-03-27,12:14,m,c,b,b,s,
27,2014-03-27,12:22,m,c,b,k,,
28,2014-03-27,14:6,m,a,a,i,,
29,2014-03-27,14:11,m,c,d,a,,
30,2014-03-27,14:38,m,c,d,a,,
31,2014-03-27,17:17,m,b,a,b,,
32,2014-03-27,17:51,m,b,a,k,,
33,2014-03-27,18:8,f,c,c,a,s,
34,2014-03-27,18:16,f,b,a,b,,
35,2014-03-27,18:40,f,b,a,d,,
36,2014-03-27,19:29,f,c,a,d,s,
37,2014-03-27,19:30,m,b,a,a,s,
38,2014-03-28,21:7,f,b,a,b,,
39,2014-03-28,11:34,m,d,b,b,,
40,2014-03-28,11:51,f,c,b,b,,
41,2014-03-28,11:55,m,c,a,i,,
42,2014-03-28,13:1,m,c,d,g,,
43,2014-03-28,13:40,m,c,b,a,s,
44,2014-03-28,13:40,m,d,b,a,s,
45,2014-03-28,13:43,m,c,b,a,s,
46,2014-03-28,14:23,m,c,b,b,,
47,2014-02-18,,m,b,b,a,,
48,2014-02-18,,m,d,d,a,,
49,2014-02-19,,f,a,b,a,,
50,2014-02-19,,m,b,b,a,,
51,2014-02-19,,f,c,d,a,,
52,2014-02-19,,m,a,d,i,,
53,2014-02-19,,m,c,d,b,s,
54,2014-02-19,,m,c,b,i,,
55,2014-02-19,,m,c,b,a,,
56,2014-02-20,,f,c,b,b,,
57,2014-02-21,,m,c,b,a,s,
58,2014-02-21,,m,c,b,a,,
59,2014-02-21,,m,c,b,a,s,
60,2014-02-21,,m,c,b,a,,
61,2014-02-21,,m,c,b,a,,
62,2014-02-24,,f,b,a,a,,
63,2014-02-24,,f,c,b,k,,
64,2014-02-24,,f,a,d,b,,
65,2014-02-24,,m,c,b,a,,
66,2014-02-24,,f,b,a,b,,
67,2014-02-24,,m,a,a,i,,
68,2014-02-24,,m,c,b,k,,
69,2014-02-24,,f,b,a,a,,
70,2014-02-24,,m,c,b,d,,
71,2014-02-24,,f,b,a,a,,
72,2014-02-24,,m,c,b,d,,
73,2014-02-24,,f,c,a,i,,
74,2014-02-24,,m,c,b,a,s,
75,2014-02-24,,m,c,b,g,,
76,2014-02-25,,m,a,a,a,,
77,2014-02-25,,f,c,b,b,,
78,2014-03-28,15:37,m,c,a,g,s,
79,2014-02-25,,m,b,a,a,s,
80,2014-02-25,,f,b,a,a,,
81,2014-02-25,,f,c,b,a,s,
82,2014-02-25,,f,c,b,b,,
83,2014-02-26,,m,c,a,i,,
84,2014-03-28,16:13,m,c,d,k,,
85,2014-02-26,,m,c,d,i,,
86,2014-02-26,,m,b,a,e,,
87,2014-02-26,,f,c,b,a,,
88,2014-02-26,,m,b,a,b,,
89,2014-02-26,,m,d,d,a,,
90,2014-02-26,,m,c,b,d,,
91,2014-02-26,,m,b,b,i,,
92,2014-02-26,,m,c,b,b,,
93,2014-02-26,,f,c,d,a,,
94,2014-02-26,,f,c,d,a,,
95,2014-02-26,,f,c,b,d,,
96,2014-02-26,,f,b,a,b,,
97,2014-02-26,,m,c,b,a,,
98,2014-02-26,,m,c,b,b,,
99,2014-02-26,,m,c,b,a,,
100,2014-02-27,,m,c,b,a,,
101,2014-02-27,,m,c,d,a,,
102,2014-02-24,,m,c,a,a,,
103,2014-02-27,,m,b,a,a,s,
104,2014-02-27,,m,c,d,a,,
105,2014-02-27,,m,a,d,b,,
106,2014-02-27,,f,b,d,i,,
107,2014-02-27,,f,c,b,a,s,
108,2014-02-27,,m,c,a,k,,
109,2014-03-05,,f,c,b,a,,
110,2014-03-05,,m,c,d,a,,
111,2014-03-05,,m,b,a,i,,
112,2014-03-05,,f,b,a,a,,
113,2014-03-05,,f,b,a,a,,
114,2014-03-05,,m,c,d,a,,
115,2014-03-06,,m,d,d,a,,
116,2014-03-06,,f,c,b,a,,
117,2014-03-06,,m,b,b,a,,
118,2014-03-06,,m,b,a,i,,
119,2014-03-06,,f,c,b,b,,
120,2014-03-06,,f,c,b,a,,
121,2014-03-06,,m,c,b,i,,
122,2014-03-06,,m,c,d,a,,
123,2014-03-06,,m,c,a,a,,
124,2014-03-06,,f,c,d,a,,
125,2014-03-06,,f,b,a,a,,
126,2014-03-06,,f,b,a,g,,
127,2014-03-06,,f,b,a,a,,
128,2014-03-06,,m,c,b,b,,
129,2014-03-07,,m,c,b,a,,
130,2014-03-07,,f,b,a,b,,
131,2014-03-07,,f,b,a,b,,
132,2014-03-07,,m,d,b,a,,
133,2014-03-07,,f,c,b,e,,
134,2014-03-07,,m,b,a,a,,
135,2014-03-07,,m,d,b,b,s,
136,2014-03-07,,m,c,b,b,,
137,2014-03-07,,f,c,d,i,,
138,2014-03-07,,m,b,a,a,,
139,2014-03-08,,m,b,d,i,,
140,2014-03-08,,m,c,b,i,,
141,2014-03-10,,f,a,d,a,,
142,2014-03-10,,m,b,a,a,,
143,2014-03-10,,m,c,b,a,,
144,2014-03-10,,f,b,a,b,,
145,2014-03-10,,m,c,b,b,,
146,2014-03-10,,m,b,a,a,,
147,2014-03-10,,m,b,a,a,,
148,2014-03-10,,f,b,a,d,,
149,2014-03-10,,f,c,a,d,,
150,2014-03-10,,m,b,b,a,s,
151,2014-03-10,,m,b,a,a,,
152,2014-03-10,,m,c,b,d,,
153,2014-03-10,,m,d,b,a,,
154,2014-03-11,,f,b,b,a,,
155,2014-03-11,,f,c,b,b,,
156,2014-03-11,,f,c,b,a,,
157,2014-03-11,,f,b,a,e,,
158,2014-03-11,,m,c,b,a,,
159,2014-03-11,,f,c,a,b,,
160,2014-03-11,,m,b,a,a,,
161,2014-03-11,,f,b,a,a,,
162,2014-03-11,,f,c,a,a,,
163,2014-03-11,,f,b,a,a,,
164,2014-03-12,,f,b,a,j,,
165,2014-03-12,,m,b,a,e,,
166,2014-03-12,,m,c,b,a,,
167,2014-03-12,,m,c,b,a,,
168,2014-03-12,,m,c,d,a,,
169,2014-03-12,,f,c,d,a,,
170,2014-03-12,,m,c,b,a,,
171,2014-03-12,,f,b,a,a,,
172,2014-03-12,,f,c,a,a,s,
173,2014-03-12,,f,c,a,a,,
174,2014-03-12,,f,c,a,c,,
175,2014-03-12,,m,b,a,a,,
176,2014-03-13,,f,b,a,a,,
177,2014-03-13,,m,c,b,a,,
178,2014-03-13,,m,b,a,b,,
179,2014-03-13,,f,c,b,a,,
180,2014-03-13,,m,c,a,b,,
181,2014-03-13,,f,a,a,b,s,
182,2014-03-13,,m,b,a,j,,
183,2014-03-13,,m,b,a,b,,
184,2014-03-28,20:57,f,c,a,b,,
185,2014-03-14,,f,c,d,a,,
186,2014-03-14,,f,c,d,d,,
187,2014-03-14,,m,c,a,i,,
188,2014-03-14,,m,b,b,i,,
189,2014-03-29,9:37,m,c,b,b,,
190,2014-03-14,,f,d,b,b,,
191,2014-03-14,,m,c,b,a,,
192,2014-03-14,,m,c,b,i,,
193,2014-03-14,,f,b,d,k,,
194,2014-03-14,,f,c,b,i,,
195,2014-03-14,,m,c,d,b,,
196,2014-03-14,,m,b,a,a,,
197,2014-03-03,,m,c,a,b,,
198,2014-03-03,,m,c,b,i,,
199,2014-03-03,,m,c,b,b,,
200,2014-03-03,,m,c,d,a,,
201,2014-03-03,,m,c,b,a,,
202,2014-03-03,,f,c,b,h,,
203,2014-03-03,,m,c,b,i,,
204,2014-03-17,,m,c,d,a,s,
205,2014-03-17,,f,b,a,b,,
206,2014-03-17,,m,d,b,a,,
207,,,f,c,a,h,,
208,2014-03-17,,f,c,d,a,s,
