,data,hora,valor,FUNCAO_TRATADA,CATEGORIA_TRATADA,COMPROU,SEXO_TRATADO,IDADE_TRATADA
287,2014-03-31,14:55,90.0,Outros,Impressoras,Sim,Feminino,Maior de 60
288,2014-03-31,16:16,36.0,Funcionario,Acessorios,Sim,Masculino,Entre 18 e 30
295,2014-04-01,11:44,72.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
296,2014-04-01,12:51,62.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
297,2014-04-01,12:58,40.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
301,2014-04-01,14:23,30.0,Funcionario,Acessorios,Sim,Feminino,Entre 30 e 60
303,2014-04-01,17:32,25.0,Funcionario,Acessorios,Sim,Feminino,Entre 30 e 60
309,2014-04-02,9:42,40.0,Outros,Acessorios,Sim,Masculino,Entre 30 e 60
310,2014-04-02,9:51,24.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
316,2014-04-02,13:33,36.0,Professor,Acessorios,Sim,Feminino,Entre 30 e 60
319,2014-04-02,15:25,24.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
321,2014-04-02,16:10,20.0,Aluno,Acessorios,Sim,Masculino,Entre 30 e 60
326,2014-04-02,18:22,44.0,Outros,Impressoras,Sim,Masculino,Entre 30 e 60
328,2014-04-02,19:29,16.0,Aluno,Acessorios,Sim,Masculino,Entre 30 e 60
329,2014-04-02,19:30,36.0,Aluno,Acessorios,Sim,Masculino,Menor de 18
330,2014-04-03,13:31,230.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
331,2014-04-03,14:7,20.0,Funcionario,Impressoras,Sim,Masculino,Entre 30 e 60
338,2014-04-04,21:8,45.0,Professor,Impressoras,Sim,Masculino,Entre 30 e 60
339,2014-04-04,10:6,20.0,Outros,Acessorios,Sim,Feminino,Entre 30 e 60
346,2014-04-04,14:44,135.0,Outros,Telecom,Sim,Masculino,Entre 30 e 60
349,2014-04-04,17:32,24.0,Aluno,Acessorios,Sim,Masculino,Entre 18 e 30
350,2014-04-04,18:3,80.0,Outros,Apple,Sim,Masculino,Entre 30 e 60
352,2014-04-05,12:35,30.0,Outros,Acessorios,Sim,Masculino,Entre 30 e 60
355,2014-04-07,12:15,28.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
359,2014-04-07,15:46,24.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
360,2014-04-07,16:8,63.0,Funcionario,Acessorios,Sim,Masculino,Entre 30 e 60
361,2014-04-07,16:10,135.0,Outros,Telecom,Sim,Masculino,Entre 30 e 60
364,2014-04-07,20:12,540.0,Aluno,Acessorios,Sim,Feminino,Entre 18 e 30
